int(self),self.nb_electrical,self.nb_activeCS_Cparking,self.nb_activeCS_Cparking_fast,self.nb_solar,self.nb_wind,self.policy_ban_gasoline,self.policy_idle_fee,self.policy_relocation,self.policy_notification,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency,self.payback_period,self.payback_period_norm,self.metric
104,50,20,4,100,0,False,True,False,True,0.9737473086709728,45309502.33333391,34703166.66666711,0.0,0.0,0.0,24.27305406951875,0.4045509011586458,1.3782982098296186
105,50,20,4,100,0,False,True,False,True,1.0,47436000.33333399,36331166.66666717,0.0,0.0,0.0,23.18492268048902,0.3864153780081503,1.3864153780081503
106,50,20,4,100,0,False,True,False,True,0.9823223942196556,47665526.333334215,36507166.66666734,0.0,0.0,0.0,23.073279256561367,0.3845546542760228,1.3668770484956785
107,50,20,4,100,0,False,True,False,True,0.993041258735772,48537063.66666734,37174500.000000514,0.0,0.0,0.0,22.658972688438173,0.3776495448073029,1.3706908035430747
108,50,20,4,100,0,False,True,False,True,0.9836759396152028,46616808.33333399,35704166.66666716,0.0,0.0,0.0,23.592348754034557,0.3932058125672426,1.3768817521824457
109,50,20,4,100,0,False,True,False,True,0.9746965218389484,54872469.66666739,42025500.000000566,0.0,0.0,0.0,20.042837632075457,0.3340472938679242,1.3087438157068727
110,50,20,4,100,0,False,True,False,False,0.6533752892406733,33732900.66666659,25838999.999999944,0.0,0.0,0.0,32.60318496970453,0.5433864161617421,1.1967617054024156
111,50,20,4,100,0,False,True,False,False,1.0,27861995.33333295,21343666.66666637,0.0,0.0,0.0,39.47312411915612,0.6578854019859353,1.6578854019859353
112,50,20,4,100,0,False,True,False,False,0.5403337768851917,35159923.333333306,26931666.66666664,0.0,0.0,0.0,31.27993168737477,0.5213321947895795,1.0616659716747712
113,50,20,4,100,0,False,True,False,False,0.9111575794512966,38986068.00000008,29861333.3333334,0.0,0.0,0.0,28.210077507688073,0.4701679584614678,1.3813255379127645
114,50,20,4,100,0,False,True,False,False,0.7797901220804406,35751323.66666673,27384500.000000056,0.0,0.0,0.0,30.762497362451914,0.5127082893741985,1.2924984114546392
115,50,20,4,100,0,False,True,False,False,1.0,37231021.666666746,28517500.00000006,0.0,0.0,0.0,29.539882355274187,0.4923313725879031,1.492331372587903
116,50,20,4,100,0,False,True,False,False,0.7861228537760904,42711650.666667014,32714000.000000272,0.0,0.0,0.0,25.749414570350588,0.4291569095058431,1.2152797632819334
117,50,20,4,100,0,False,True,False,False,1.0,30423931.999999784,23305333.33333317,0.0,0.0,0.0,36.14917361766414,0.602486226961069,1.602486226961069
118,50,20,4,100,0,False,True,False,False,0.895768477386123,34843871.33333341,26689666.666666724,0.0,0.0,0.0,31.563656904790474,0.5260609484131745,1.4218294257992974
