nb_electrical,nb_activeCS_Cparking,nb_activeCS_Cparking_fast,nb_solar,avg_statisfied_day,self_consumption,self_sufficiency,payback_period_norm,metric
143,25,2,520,0.5167210823079272,0.9999999999999906,0.49711969496813585,0.9005451697727839,1.8149620080552198
59,27,2,520,0.908042664011269,0.8326985386696235,0.817487829388536,0.6791346191866066,2.2411675467087044
59,25,9,520,0.879684155077932,0.9228888952754363,0.684426967823875,0.8580240482138758,2.285249777550908
59,25,2,763,0.7139740913606056,0.7256524538184007,0.9423055848419954,0.50191126950268,1.9697298287368818
59,27,9,763,0.8893007300398085,0.7761470667687772,0.8468249293384099,0.6000852118471814,2.166845885357718
143,25,9,763,0.8553725687558835,0.8365672372019702,0.6944214175367742,0.7551678341624666,2.1660775369477694
143,27,2,763,0.4328877020099799,0.9909875550915094,0.6200887736016399,0.9777067450704221,1.906665465961714
143,27,9,520,0.8832562475491262,0.8705647779306676,0.5187944759765517,0.9423894884156537,2.2406813167460213
143,27,9,763,0.8754236762180623,0.9370338462495021,0.7026755752017645,0.8607551500984717,2.2983192864779456
134,40,6,870,0.7178437786621716,0.9694517354343549,0.6123181710387736,0.96216227448323,2.1698605899764205
68,40,6,870,1.0,0.9069511578145987,0.7529327231596205,0.7968834606542501,2.3992296391819465
134,42,6,870,0.8263590006454519,0.9827348361991434,0.6163305202856143,0.9724360831985519,2.291859500072495
134,40,5,870,0.7332183675569216,0.9843875411661249,0.6498839438502222,0.9475396664083994,2.2006651890454987
134,40,6,413,0.7725064758582895,1.0000000000000009,0.2823727074631055,0.6310277902979299,1.6294324321267037
134,42,5,413,0.7741604376254124,0.9999999999999981,0.2792568817962402,0.6261890513333981,1.6237549943958027
68,40,5,413,0.9894083156382927,0.9999999999999977,0.4279701707824917,0.8257351589228027,2.1575196111870887
68,42,6,413,0.8622505989748097,0.9999999999999991,0.42761514837396836,0.8253317214867509,2.0296744391607353
68,42,5,870,0.9859580893137861,0.9675650844067804,0.7746991758822911,0.8477384881049553,2.4534559181245745
68,42,5,413,0.9533026128373598,0.9961998147959673,0.38872023802746114,0.7816614381738566,2.0459402414331853
172,33,4,345,0.4574604130014202,1.0000000000000027,0.29716366046195714,0.6536314473143018,1.3488227886852877
106,33,4,345,0.7533926488169069,1.0000000000000033,0.29485043606164846,0.6501520044697177,1.6394250021359433
172,35,4,345,0.5321275670138297,1.0000000000000036,0.2839224701498709,0.6334831867033972,1.3927487298371237
172,33,7,345,0.4966383594457391,1.0000000000000053,0.3165361511911828,0.6821084574272576,1.431975737825943
172,33,4,238,0.5129465465484938,1.0000000000000007,0.19165527198941298,0.47531480370499674,1.1415855678450209
172,35,7,238,0.87053834910397,1.0,0.19819700476933053,0.4876968348980032,1.5167927878174376
106,33,7,238,0.989084815185381,1.0000000000000009,0.3178496426657757,0.6842021327149301,1.9275666620329317
106,35,4,238,0.743132142582704,1.0000000000000004,0.20272461854158189,0.49615115297878376,1.4014629903947533
106,35,7,345,0.9176233412041552,1.0000000000000033,0.4244402313674324,0.8217261138579037,2.0789016401560048
106,35,7,238,0.9787174116121472,1.0000000000000013,0.2053578847626332,0.5010264423001209,1.6440301617223747
97,48,8,695,1.0,0.9973909019253495,0.5337204648021179,0.9390367496099058,2.3660131214516
181,48,8,695,0.6167895486643917,0.9973909019253535,0.39170277398684417,0.7842541251348726,1.7144058929887396
97,20,8,695,0.9602913736461169,0.68791213785926,0.7379515404823174,0.5472108196420219,2.0978634256739928
97,48,3,695,0.9522160909354169,0.9941537054915316,0.4784150241975625,0.8863207384002203,2.221268848693687
97,48,8,588,0.9459379685906515,0.998741768780377,0.4345677804901176,0.8342210962741724,2.127813289256918
97,20,3,588,0.5843007530501263,0.9799281253174912,0.7097944838774696,0.9003644720121649,2.0525008121642667
181,48,3,588,0.6708975547102155,0.9999999999999868,0.35818491168505584,0.7393996303067027,1.696845114364963
181,20,8,588,0.5696371585795916,0.9991236548115713,0.5413397083120681,0.9446303586183625,1.947339283847609
181,20,3,695,0.3986661765272152,0.828713611747554,0.6791229102471449,0.7564017900666988,1.69836629479163
181,20,3,588,0.4452967227803753,0.9905710484036397,0.6691207675180042,0.9393939355205171,1.919987272315296
115,29,7,608,0.8527920737219716,0.8974275858382573,0.6298737266091877,0.8708957639762385,2.2275868189855603
199,29,7,608,0.8756337768643987,0.9752668956425522,0.5603210284800907,0.9858163251606008,2.3097069248090722
115,31,7,608,0.9504090599267763,0.9585591467454383,0.5915475534510599,0.9685027722746851,2.3921498749623096
115,29,6,608,0.9287240544409213,0.9308980602097187,0.6203590139314957,0.9149370847104147,2.339948350296533
115,29,7,326,0.782750659876396,0.999123654811581,0.341142965528887,0.7172989637743433,1.772963996073849
115,31,6,326,0.9075925014838281,1.0000000000000044,0.3834978913790975,0.7722428077623532,1.9866336223494594
199,29,6,326,0.9093556084347405,1.000000000000003,0.2645134291001935,0.6028829017847458,1.7238492534996412
