int(self),current_date,self.nb_electrical,self.nb_gasoline,self.nb_activeCS_Cparking,self.nb_activeCS_Jparking,self.nb_solar,self.nb_wind,self.policy_prohibit_parking,self.policy_force_moving,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption / 1000,self.monthly_renew_charge / 1000,self.self_consumption,self.self_sufficiency
36,date ('2024-01-01 23:55:00'),50,30,6,10,90,6,true,false,0.6584770248474227,33993978.72181333,19827.49999999992,3955.6517269303276,0.9778941569506213,0.19950330232910568
37,date ('2024-01-01 23:55:00'),50,30,6,10,90,6,true,false,0.6403539328614013,30008828.777149625,16846.499999999905,3910.7693722873014,0.9667985915708903,0.23214135709419306
38,date ('2024-01-01 23:55:00'),50,30,6,10,90,6,true,false,0.5599859891265477,29286279.822375555,16212.166666666597,3962.44842478084,0.9795743986840695,0.24441202130791834
39,date ('2024-01-01 23:55:00'),50,30,6,10,90,6,true,false,0.5868870419711772,28348092.3318649,15478.833333333287,3971.9876355288216,0.981932629159433,0.25660768805974826
40,date ('2024-01-01 23:55:00'),50,30,6,10,120,0,true,false,0.7050632133018501,36437614.64535967,19719.333333333172,5217.19471873771,1.0000000000000007,0.26457257101682374
41,date ('2024-01-01 23:55:00'),50,30,6,10,120,0,true,false,0.5957573132888638,31466484.756052867,16408.333333333263,4901.448555093512,0.9394797049628637,0.29871702722764043
42,date ('2024-01-01 23:55:00'),50,30,6,10,120,0,true,false,0.664348999908633,36222124.64535966,19554.33333333317,5217.19471873771,1.0000000000000007,0.2668050416141906
43,date ('2024-01-01 23:55:00'),50,30,6,10,120,0,true,false,0.6712165274021681,34893269.64535961,18536.833333333176,5217.19471873771,1.0000000000000007,0.2814501606030024
44,date ('2024-01-01 23:55:00'),50,30,6,10,120,0,true,false,0.6431217481980849,35516005.48727109,19020.83333333318,5212.622655248884,0.9991236548115787,0.2740480694983006
45,date ('2024-01-01 23:55:00'),50,30,6,10,120,0,true,false,0.7458912960167088,36396910.978693016,19688.166666666504,5217.19471873771,1.0000000000000007,0.26499139341251104
46,date ('2024-01-01 23:55:00'),50,30,6,10,120,0,true,false,0.6801142908815893,38506318.64535961,21303.333333333107,5217.194718737714,1.0000000000000013,0.24490039361936017
47,date ('2024-01-01 23:55:00'),50,30,6,10,120,0,true,false,0.6244237363442551,34584609.820604414,18307.666666666526,5212.622655248884,0.9991236548115787,0.2847234849834636
