int(self),self.nb_electrical,self.nb_activeCS_Cparking,self.nb_solar,self.nb_wind,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency,self.payback_period
112,10,6,180,4,0.7207692307692303,8162440.000000014,2434666.666666671,2434666.6666666665,0.31110801850689224,0.999999999999998,279.597767334277
113,10,6,180,4,0.8350963286077788,22592294.99999999,6735666.666666663,6735666.666666656,0.8607009487909038,0.9999999999999989,101.01674044181883
114,10,6,180,4,0.7521008403361349,13120011.666666651,3912333.3333333284,3912333.3333333354,0.4999280960042985,1.0000000000000018,173.94801605232334
115,10,6,180,4,0.6344322344322348,25874944.80896826,8682666.666666703,7096753.933122552,0.9068416158124663,0.8173472742386197,88.20115431546695
116,10,6,180,4,0.7346153846153848,16705947.499999948,4981166.66666665,4981166.6666666735,0.6365063902735146,1.0000000000000047,136.6100306492647
117,10,6,180,4,0.8339694656488548,15623400.833333293,4658499.999999987,4658500.000000003,0.5952752070979018,1.0000000000000033,146.0757503661312
118,10,6,180,4,0.9285897435897426,19826240.589652263,6176499.999999986,5742117.255402134,0.7337426292561853,0.9296717000570139,115.11007291978132
119,10,6,180,4,0.9461105052708115,28141264.442275133,9276666.6666667,7824209.098230839,0.9997977227276265,0.843428936208855,81.09799062801072
120,10,6,210,4,0.7464102564102555,15826378.333333291,4718999.999999987,4719000.0000000065,0.5168623319514253,1.0000000000000042,165.01564318726574
121,10,6,210,4,1.0,25962951.666666698,7740333.333333344,7740333.333333321,0.8477827371790642,0.999999999999997,100.58948741767985
122,10,6,210,4,0.8062340966921115,20562519.999999933,6130666.6666666465,6130666.666666668,0.6714792688599706,1.0000000000000036,127.00777920216046
123,10,6,210,4,0.978076923076923,11932900.83333334,3558500.000000002,3558499.999999997,0.3897551617395938,0.9999999999999988,218.8570940525008
124,10,6,210,4,1.0,24259170.833333366,7232500.00000001,7232500.000000006,0.7921608001353424,0.9999999999999993,107.65413286143834
125,10,6,210,4,1.0,16275389.166666614,4852833.333333317,4852833.333333337,0.5315208207752221,1.000000000000004,160.4631369029737
126,10,6,210,4,0.968791208791209,16773606.666666614,5001333.333333317,5001333.333333341,0.5477857193331346,1.0000000000000049,155.69698585992884
127,10,6,210,4,0.9516483516483522,12068219.166666664,3598833.333333332,3598833.3333333335,0.3941727885084097,1.0000000000000004,216.40309675626682
128,10,6,210,4,1.0,22014116.666666627,6563333.333333321,6563333.3333333265,0.7188683560163551,1.0000000000000009,118.63296808790139
129,10,6,210,4,0.8268447837150134,13187670.833333341,3932500.000000003,3932499.9999999995,0.43071860995952044,0.9999999999999992,198.0334535950718
130,10,6,210,4,0.9138461538461538,7166005.0000000065,2137666.666666669,2137666.6666666656,0.2341342187472264,0.9999999999999986,364.44294973280057
131,10,6,210,4,1.0,23328021.617269363,7155499.999999997,6827137.766684252,0.7477623112189158,0.9541105117300335,111.95119941361311
