int(self),current_date,self.nb_electrical,self.nb_gasoline,self.nb_activeCS_Cparking,self.nb_activeCS_Jparking,self.policy_prohibit_parking,self.policy_force_moving,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption / 1000,self.monthly_renew_charge / 1000,self.self_consumption,self.self_sufficiency
116,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,16707491.244960701,6687.99999999999,3894.0116699011273,0.9626558458544786,0.5822385870067484
117,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,15763524.721813522,5868.499999999985,3955.6517269303276,0.9778941569506213,0.674048177035075
118,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,15464010.995690608,5626.49999999998,3963.7231148644937,0.979889520456859,0.7044740273463979
119,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,16413033.476812605,6574.333333333327,3822.7529576115016,0.9450396644537146,0.5814662512211386
120,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,0.8964285714285715,18553419.264084004,6796.166666666659,4725.960109362637,0.9058431521425132,0.6953861406227986
121,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,15530735.547524804,4839.999999999988,4497.590148458525,0.8620705936669947,0.9292541629046561
122,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,21837885.44671936,8550.666666666682,5210.630281463798,0.9987417687803883,0.6093829270384907
123,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,12266757.416594712,4073.6666666666615,3393.0773141018685,0.6503643235540993,0.832929542779283
124,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,20955855.312026925,7865.00000000001,5217.194718737712,1.0000000000000009,0.6633432573093078
125,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,0.9243002544529266,19369894.301354688,6796.166666666661,5124.434993340515,0.9822203827156301,0.7540184407887562
126,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,17236229.266618434,6312.16666666666,4391.608719677142,0.8417567210793477,0.6957371298302981
127,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,17943993.15393823,5565.999999999983,5212.622655248885,0.9991236548115789,0.936511436444287
128,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,22605760.15393839,9135.50000000003,5212.622655248885,0.9991236548115788,0.5705897493567804
129,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,14059141.004212614,4436.666666666656,4036.467059156981,0.7736853379575602,0.9097972334688936
130,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,18425714.69291196,6029.833333333313,5152.0834681529395,0.9792502443525406,0.8544321514944508
131,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,14270217.499999993,4255.166666666664,4255.166666666668,0.808774357762487,1.0000000000000009
132,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,19318758.328280404,6594.499999999984,5228.017567080102,0.9936829462660001,0.7927845275729949
133,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,15712652.234090397,4960.999999999988,4509.24982955447,0.8570676357890845,0.9089396955360777
134,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,22057875.661613844,8691.833333333348,5228.017567080108,0.9936829462660013,0.6014861728918064
135,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,20962727.007187657,7938.333333333352,5173.806901181532,0.9833791908715401,0.6517497671024379
136,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,0.8780806979280275,19521305.539086286,6735.666666666646,5236.8919175628935,0.9953696832787953,0.7774867992620739
137,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,11120599.114107493,3468.666666666667,3219.3202118630993,0.6118922807836835,0.9281146103775991
138,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,14845277.389919234,5050.833333333316,4028.675316375127,0.7657254220284853,0.7976258669609255
139,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,0.9430769230769239,18960978.42509232,6312.166666666646,5233.360383158808,0.9946984488258759,0.8290909697925422
140,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,22511483.76614587,8994.33333333335,5256.589116388071,0.9908162723726504,0.584433433983033
141,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,18690027.311553475,6211.333333333317,5165.394165391349,0.9736269050081597,0.831607947631968
142,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,0.8406593406593397,14283915.532487333,4658.499999999987,4004.7736452679596,0.7548611479885147,0.8596702039858262
143,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,12623030.001659567,4255.166666666662,3451.2684244312222,0.6505307604490961,0.8110771433389742
144,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,21536990.099479157,8248.166666666673,5256.5891163880715,0.9908162723726506,0.6373039402357779
145,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,0.8903296703296713,20378132.766145807,7360.833333333332,5256.5891163880715,0.9908162723726506,0.7141296207025571
146,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,0.9741147741147741,13556865.731610252,5818.999999999984,2910.257881052703,0.5485554989181104,0.5001302424905846
147,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,19508989.766145766,6695.333333333319,5256.589116388071,0.9908162723726504,0.785112384206126
148,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,13965587.312000658,4476.999999999989,3965.1010144789507,0.7473832403028952,0.8856602668034311
149,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,0.8069597069597083,18191445.16928923,5707.166666666645,5243.412478911329,0.9883326034881245,0.9187417829474079
150,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,19101777.615358386,6634.833333333324,5096.41383537909,0.9527128839622881,0.7681298955581548
151,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,20769148.824373946,7764.166666666671,5190.343496522184,0.970271897270041,0.6684997526914905
152,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,15452339.205296319,5707.166666666645,3906.6111299640784,0.7302936685223881,0.684509732785812
153,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,24570266.326538727,10539.833333333363,5276.286315213253,0.9863378670471844,0.5006043405379501
154,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,23379067.930195205,9780.833333333378,5178.7048626297565,0.9680961955277568,0.5294748091638136
155,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,0.8782442748091586,22671559.99320533,9086.000000000018,5276.286315213255,0.9863378670471848,0.5807050754141806
