int(self),self.nb_electrical,self.nb_activeCS_Cparking,self.nb_solar,self.nb_wind,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency
103,10,9,120,0,0.9133951290439848,17822344.964982413,6594499.999999985,4498240.425402211,0.8621952347775423,0.6821200129505227
104,10,9,120,0,0.8244274809160291,12471839.959593836,4013166.66666666,3532264.9876007107,0.6770429661968487,0.8801690238632958
105,10,9,120,0,0.9967032967032966,14321387.401795762,4821666.666666662,3919598.536747574,0.7512846937972665,0.8129136267018827
106,10,9,120,0,0.9705426356589146,13524866.666666647,4033333.333333327,4033333.3333333363,0.7730846845427298,1.0000000000000022
107,10,9,120,0,1.0,14734742.774261879,4517333.333333323,4315310.93586884,0.8271324281553599,0.9552783948942258
108,10,9,120,0,0.6823992673992663,15486982.499999972,4618166.666666659,4618166.66666667,0.8851819638014256,1.0000000000000024
109,10,9,120,0,0.7430769230769215,14856067.697533172,5021499.999999984,4053174.8971204963,0.7768877942322913,0.8071641734781457
110,10,9,150,0,1.0,13524866.666666647,4033333.333333327,4033333.3333333363,0.618467747634184,1.0000000000000022
111,10,9,150,0,1.0,21342784.354076702,6858499.999999987,6048096.642627346,0.9274097623238684,0.8818395629696519
112,10,9,150,0,1.0,24031852.808399174,8187666.666666677,6513287.8518297365,0.9987417687803869,0.7954998801241373
113,10,9,150,0,0.9000000000000004,23837964.640033655,8026333.333333346,6521493.398422125,0.9999999999999988,0.8125121556238358
114,10,9,150,0,1.0,15603301.53282558,5373499.999999979,4193497.9011675594,0.6430272400769693,0.7804034430385366
115,10,9,150,0,0.9265384615384606,18396326.6666666,5485333.333333313,5485333.333333337,0.8411161367824902,1.0000000000000042
116,10,9,150,0,1.0,8653406.666666681,2581333.3333333377,2581333.333333331,0.3958193584858771,0.9999999999999974
117,10,9,150,0,0.8252585377585367,23833547.68835392,8737666.666666668,6065945.187093178,0.9301466422646116,0.6942294114095879
118,10,9,150,0,1.0,18900989.97881478,5993166.666666642,5407945.816893549,0.829249603810378,0.9023519814611483
119,10,9,150,0,1.0,15216345.833333299,4537499.999999989,4537500.000000006,0.6957762160884573,1.0000000000000036
120,10,9,180,0,0.8375824175824185,21970660.879950717,7230666.666666679,6117314.241069136,0.781686272777798,0.846023544311607
121,10,9,180,0,0.8949633699633694,25451332.500000052,7588166.666666683,7588166.666666653,0.9696356088855608,0.9999999999999961
122,10,9,180,0,1.0,17530935.34063175,5243333.333333313,5217232.149324132,0.6666714496440383,0.9950220246644919
123,10,9,180,0,1.0,8585747.500000015,2561166.6666666707,2561166.6666666665,0.327272516456422,0.9999999999999982
124,10,9,180,0,1.0,15486982.499999959,4618166.666666654,4618166.666666673,0.5901213092009507,1.0000000000000038
125,10,9,180,0,0.8800457875457873,16253059.840631763,6068333.333333317,4067732.1493241373,0.5197853595809204,0.6703211451783819
126,10,9,180,0,0.9044871794871798,19209409.950480253,5928999.99999998,5599366.82144802,0.7155016087269698,0.9444032419376013
127,10,9,180,0,0.9554707379134847,18635642.87690446,5646666.666666642,5499298.622208173,0.7027146348026565,0.9739017630829158
