int(self),current_date,self.nb_electrical,self.nb_gasoline,self.nb_activeCS_Cparking,self.nb_activeCS_Jparking,self.policy_prohibit_parking,self.policy_force_moving,self.avg_statisfied_day,self.monthly_energy_consumption,self.monthly_profit
211,date ('2023-11-01 23:55:00'),10,30,8,22,true,true,1.0,5566.0,-3730804.0
212,date ('2023-11-01 23:55:00'),10,30,8,22,true,true,1.0,2762.833333333333,-7391739.666666667
213,date ('2023-11-01 23:55:00'),10,30,8,22,true,true,1.0,5903.333333333334,-3290246.6666666633
214,date ('2023-11-01 23:55:00'),10,30,8,22,true,true,1.0,5505.5,-3809817.0
215,date ('2023-11-01 23:55:00'),10,30,8,22,true,true,1.0,8116.166666666667,-400286.3333333316
216,date ('2023-11-01 23:55:00'),10,30,8,22,true,true,1.0,5949.166666666666,-3230388.3333333367
217,date ('2023-11-01 23:55:00'),10,30,8,22,true,true,1.0,5683.333333333333,-3577566.6666666684
218,date ('2023-11-01 23:55:00'),10,30,8,22,true,true,1.0,4456.833333333334,-5179375.666666666
219,date ('2023-11-01 23:55:00'),10,30,8,22,true,true,1.0,5360.666666666666,-3998969.333333334
220,date ('2023-11-01 23:55:00'),10,30,8,24,true,true,1.0,4949.999999999999,-5268633.333333334
221,date ('2023-11-01 23:55:00'),10,30,8,24,true,true,1.0,5989.5,-3911046.3333333367
222,date ('2023-11-01 23:55:00'),10,30,8,24,true,true,1.0,3428.333333333333,-7255930.0
223,date ('2023-11-01 23:55:00'),10,30,8,24,true,true,1.0,4759.333333333333,-5517644.0
224,date ('2023-11-01 23:55:00'),10,30,8,24,true,true,1.0,5586.166666666667,-4437799.666666668
225,date ('2023-11-01 23:55:00'),10,30,8,24,true,true,1.0,4598.000000000001,-5728345.333333334
226,date ('2023-11-01 23:55:00'),10,30,8,24,true,true,1.0,5223.166666666666,-4911877.666666668
227,date ('2023-11-01 23:55:00'),10,30,8,24,true,true,1.0,7997.0,-1289251.3333333367
228,date ('2023-11-01 23:55:00'),10,30,8,24,true,true,1.0,4506.333333333333,-5848062.0
229,date ('2023-11-01 23:55:00'),10,30,8,24,true,true,1.0,2984.666666666667,-7835358.666666668
230,date ('2023-11-01 23:55:00'),10,30,8,26,true,true,1.0,5646.666666666666,-5092120.0
231,date ('2023-11-01 23:55:00'),10,30,8,26,true,true,1.0,3750.9999999999995,-7567860.666666666
232,date ('2023-11-01 23:55:00'),10,30,8,26,true,true,1.0,8519.500000000002,-1340199.6666666633
233,date ('2023-11-01 23:55:00'),10,30,8,26,true,true,1.0,5908.833333333334,-4749730.333333332
234,date ('2023-11-01 23:55:00'),10,30,8,26,true,true,1.0,6332.333333333334,-4196639.333333332
235,date ('2023-11-01 23:55:00'),10,30,8,26,true,true,1.0,4416.5,-6698717.666666666
236,date ('2023-11-01 23:55:00'),10,30,8,26,true,true,1.0,4698.833333333334,-6329990.333333332
237,date ('2023-11-01 23:55:00'),10,30,8,26,true,true,1.0,5082.0,-5829574.666666666
238,date ('2023-11-01 23:55:00'),10,30,8,26,true,true,1.0,4860.166666666667,-6119289.0
239,date ('2023-11-01 23:55:00'),10,30,8,26,true,true,1.0,5494.5,-5290849.666666663
240,date ('2023-11-01 23:55:00'),10,30,8,28,true,true,1.0,6453.333333333334,-4771946.666666663
241,date ('2023-11-01 23:55:00'),10,30,8,28,true,true,1.0,6403.833333333333,-4836593.666666668
242,date ('2023-11-01 23:55:00'),10,30,8,28,true,true,1.0,5888.666666666667,-5509401.333333332
243,date ('2023-11-01 23:55:00'),10,30,8,28,true,true,1.0,7905.333333333334,-2875634.6666666633
244,date ('2023-11-01 23:55:00'),10,30,8,28,true,true,1.0,5615.5,-5866157.0
245,date ('2023-11-01 23:55:00'),10,30,8,28,true,true,1.0,2803.1666666666665,-9539064.333333334
246,date ('2023-11-01 23:55:00'),10,30,8,28,true,true,1.0,7047.333333333334,-3996182.6666666633
247,date ('2023-11-01 23:55:00'),10,30,8,28,true,true,1.0,6664.166666666666,-4496598.333333337
248,date ('2023-11-01 23:55:00'),10,30,8,28,true,true,1.0,4275.333333333333,-7616414.666666668
249,date ('2023-11-01 23:55:00'),10,30,8,28,true,true,1.0,7192.166666666666,-3807030.3333333367
250,date ('2023-11-01 23:55:00'),10,30,8,30,true,true,1.0,1936.0,-11404917.333333334
251,date ('2023-11-01 23:55:00'),10,30,8,30,true,true,1.0,6271.833333333334,-5742319.0
252,date ('2023-11-01 23:55:00'),10,30,8,30,true,true,1.0,5514.666666666667,-6731178.666666668
253,date ('2023-11-01 23:55:00'),10,30,8,30,true,true,1.0,5848.333333333333,-6295410.000000006
254,date ('2023-11-01 23:55:00'),10,30,8,30,true,true,1.0,8207.833333333332,-3213903.000000005
255,date ('2023-11-01 23:55:00'),10,30,8,30,true,true,1.0,4819.833333333333,-7638631.0
256,date ('2023-11-01 23:55:00'),10,30,8,30,true,true,1.0,3851.833333333333,-8902839.0
257,date ('2023-11-01 23:55:00'),10,30,8,30,true,true,1.0,3468.6666666666665,-9403254.666666668
258,date ('2023-11-01 23:55:00'),10,30,8,30,true,true,1.0,3952.6666666666665,-8771150.666666668
259,date ('2023-11-01 23:55:00'),10,30,8,30,true,true,1.0,5001.333333333334,-7401592.000000003
260,date ('2023-11-01 23:55:00'),10,30,10,6,true,true,1.0,4929.833333333334,571695.6666666658
261,date ('2023-11-01 23:55:00'),10,30,10,6,true,true,1.0,2783.0000000000005,-2232068.666666667
262,date ('2023-11-01 23:55:00'),10,30,10,6,true,true,1.0,4315.666666666667,-230406.0
263,date ('2023-11-01 23:55:00'),10,30,10,6,true,true,1.0,7401.166666666666,3799257.0
