int(self),current_date,self.nb_electrical,self.nb_gasoline,self.nb_activeCS_Cparking,self.nb_activeCS_Jparking,self.policy_prohibit_parking,self.policy_force_moving,self.avg_statisfied_day
177,date ('2023-11-01 23:55:00'),10,30,7,16,false,false,0.6507326007326004
178,date ('2023-11-01 23:55:00'),10,30,7,16,false,false,0.8813525410164075
179,date ('2023-11-01 23:55:00'),10,30,7,16,false,false,0.7581501831501841
180,date ('2023-11-01 23:55:00'),10,30,7,18,false,false,0.8675824175824182
181,date ('2023-11-01 23:55:00'),10,30,7,18,false,false,0.7206410256410264
182,date ('2023-11-01 23:55:00'),10,30,7,18,false,false,0.9461538461538453
183,date ('2023-11-01 23:55:00'),10,30,7,18,false,false,1.0
184,date ('2023-11-01 23:55:00'),10,30,7,18,false,false,0.9392307692307692
185,date ('2023-11-01 23:55:00'),10,30,7,18,false,false,0.6619047619047631
186,date ('2023-11-01 23:55:00'),10,30,7,18,false,false,0.9681933842239177
187,date ('2023-11-01 23:55:00'),10,30,7,18,false,false,1.0
188,date ('2023-11-01 23:55:00'),10,30,7,18,false,false,0.9671105730427758
189,date ('2023-11-01 23:55:00'),10,30,7,18,false,false,1.0
190,date ('2023-11-01 23:55:00'),10,30,7,18,false,false,0.7058823529411773
191,date ('2023-11-01 23:55:00'),10,30,7,18,false,false,0.7384615384615388
192,date ('2023-11-01 23:55:00'),10,30,7,18,false,false,0.7390756302521002
193,date ('2023-11-01 23:55:00'),10,30,7,18,false,false,0.6788461538461541
194,date ('2023-11-01 23:55:00'),10,30,7,18,false,false,0.8400560224089634
195,date ('2023-11-01 23:55:00'),10,30,7,18,false,false,0.6810805860805855
196,date ('2023-11-01 23:55:00'),10,30,7,18,false,false,0.773052959501558
197,date ('2023-11-01 23:55:00'),10,30,7,18,false,false,1.0
198,date ('2023-11-01 23:55:00'),10,30,7,18,false,false,0.8554029304029297
199,date ('2023-11-01 23:55:00'),10,30,7,18,false,false,0.9426923076923072
200,date ('2023-11-01 23:55:00'),10,30,7,18,false,false,0.7230769230769222
201,date ('2023-11-01 23:55:00'),10,30,7,18,false,false,0.6898218829516538
202,date ('2023-11-01 23:55:00'),10,30,7,18,false,false,0.9907692307692306
203,date ('2023-11-01 23:55:00'),10,30,7,18,false,false,1.0
204,date ('2023-11-01 23:55:00'),10,30,7,18,false,false,1.0
205,date ('2023-11-01 23:55:00'),10,30,7,18,false,false,1.0
206,date ('2023-11-01 23:55:00'),10,30,7,18,false,false,1.0
207,date ('2023-11-01 23:55:00'),10,30,7,18,false,false,1.0
208,date ('2023-11-01 23:55:00'),10,30,7,18,false,false,0.7136181575433911
209,date ('2023-11-01 23:55:00'),10,30,7,18,false,false,0.5326608505997826
210,date ('2023-11-01 23:55:00'),10,30,7,20,false,false,1.0
211,date ('2023-11-01 23:55:00'),10,30,7,20,false,false,0.7131652661064417
212,date ('2023-11-01 23:55:00'),10,30,7,20,false,false,0.803180661577608
213,date ('2023-11-01 23:55:00'),10,30,7,20,false,false,0.7938931297709918
214,date ('2023-11-01 23:55:00'),10,30,7,20,false,false,0.8203479853479839
215,date ('2023-11-01 23:55:00'),10,30,7,20,false,false,0.8216505246166266
