int(self),current_date,self.nb_electrical,self.nb_gasoline,self.nb_activeCS_Cparking,self.nb_activeCS_Jparking,self.policy_prohibit_parking,self.policy_force_moving,self.avg_statisfied_day,self.monthly_energy_consumption,self.monthly_profit
150,date ('2023-11-01 23:55:00'),10,30,8,10,true,false,1.0,9249.166666666668,5479411.666666668
151,date ('2023-11-01 23:55:00'),10,30,8,10,true,false,0.9351709401709402,5747.5,906235.0
152,date ('2023-11-01 23:55:00'),10,30,8,10,true,false,1.0,6609.166666666666,2031571.6666666658
153,date ('2023-11-01 23:55:00'),10,30,8,10,true,false,1.0,6050.0,1301300.0
154,date ('2023-11-01 23:55:00'),10,30,8,10,true,false,1.0,8603.833333333334,4636606.333333337
155,date ('2023-11-01 23:55:00'),10,30,8,10,true,false,1.0,3045.1666666666665,-2623012.333333334
156,date ('2023-11-01 23:55:00'),10,30,8,10,true,false,1.0,4550.333333333333,-657264.6666666684
157,date ('2023-11-01 23:55:00'),10,30,8,10,true,false,1.0,5122.333333333334,89767.33333333675
158,date ('2023-11-01 23:55:00'),10,30,8,10,true,false,1.0,5808.0,985248.0
159,date ('2023-11-01 23:55:00'),10,30,8,10,true,false,1.0,4887.666666666666,-216707.3333333342
160,date ('2023-11-01 23:55:00'),10,30,8,12,true,false,1.0,6655.0,1358096.6666666684
161,date ('2023-11-01 23:55:00'),10,30,8,12,true,false,1.0,4819.833333333334,-1038630.9999999974
162,date ('2023-11-01 23:55:00'),10,30,8,12,true,false,1.0,5639.333333333333,31636.0
163,date ('2023-11-01 23:55:00'),10,30,8,12,true,false,1.0,3105.666666666667,-3277332.666666666
164,date ('2023-11-01 23:55:00'),10,30,8,12,true,false,1.0,6251.666666666667,831343.3333333367
165,date ('2023-11-01 23:55:00'),10,30,8,12,true,false,1.0,5767.666666666667,199239.33333333675
166,date ('2023-11-01 23:55:00'),10,30,8,12,true,false,1.0,6163.666666666667,716415.3333333367
167,date ('2023-11-01 23:55:00'),10,30,8,12,true,false,1.0,6655.0,1358096.6666666684
168,date ('2023-11-01 23:55:00'),10,30,8,12,true,false,1.0,4108.5,-1967632.3333333316
169,date ('2023-11-01 23:55:00'),10,30,8,12,true,false,1.0,6957.5,1753161.6666666684
170,date ('2023-11-01 23:55:00'),10,30,8,14,true,false,1.0,4396.333333333333,-2325055.333333334
