int(self),current_date,self.nb_electrical,self.nb_gasoline,self.nb_activeCS_Cparking,self.nb_activeCS_Jparking,self.policy_prohibit_parking,self.policy_force_moving,self.avg_statisfied_day
208,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.6639312977099237
209,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
210,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.784113645458183
211,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
212,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8320512820512819
213,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8138495092693574
214,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
215,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.7068702290076316
216,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.7729487179487171
217,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
218,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
219,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8949999999999996
220,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.9465648854961825
221,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8894492911668475
222,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8039215686274508
223,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.9030534351145033
224,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8686295892402767
225,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
226,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.7834423845874215
227,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
228,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
229,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.7897435897435889
230,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
231,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8111959287531785
232,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
233,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.6753846153846161
234,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.7746153846153826
235,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
236,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8575063613231545
237,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.9961538461538462
238,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8539924875802719
239,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.9516085059978198
240,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.6760905125408944
241,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
242,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.7328971283169746
243,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.9230769230769224
244,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
245,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.9397435897435884
246,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.7629952744456553
247,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
248,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.947050865800866
249,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8817948717948727
250,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
