int(self),current_date,self.nb_electrical,self.nb_gasoline,self.nb_activeCS_Cparking,self.nb_activeCS_Jparking,self.policy_prohibit_parking,self.policy_force_moving,self.avg_statisfied_day
220,date ('2023-11-01 23:55:00'),10,30,6,20,false,false,0.6733050847457613
221,date ('2023-11-01 23:55:00'),10,30,6,20,false,false,0.6002564102564093
222,date ('2023-11-01 23:55:00'),10,30,6,20,false,false,0.8381679389312993
223,date ('2023-11-01 23:55:00'),10,30,6,20,false,false,1.0
224,date ('2023-11-01 23:55:00'),10,30,6,20,false,false,0.8467787114845937
225,date ('2023-11-01 23:55:00'),10,30,6,20,false,false,0.8116117216117217
226,date ('2023-11-01 23:55:00'),10,30,6,20,false,false,0.8724489795918366
227,date ('2023-11-01 23:55:00'),10,30,6,20,false,false,0.7316384180790965
228,date ('2023-11-01 23:55:00'),10,30,6,20,false,false,0.8618320610687008
229,date ('2023-11-01 23:55:00'),10,30,6,20,false,false,1.0
230,date ('2023-11-01 23:55:00'),10,30,6,20,false,false,0.9204652853507803
231,date ('2023-11-01 23:55:00'),10,30,6,20,false,false,0.854961832061068
232,date ('2023-11-01 23:55:00'),10,30,6,20,false,false,1.0
233,date ('2023-11-01 23:55:00'),10,30,6,20,false,false,1.0
234,date ('2023-11-01 23:55:00'),10,30,6,20,false,false,0.7266949152542372
235,date ('2023-11-01 23:55:00'),10,30,6,20,false,false,0.9056410256410246
236,date ('2023-11-01 23:55:00'),10,30,6,20,false,false,0.8989743589743586
237,date ('2023-11-01 23:55:00'),10,30,6,20,false,false,0.503846153846154
238,date ('2023-11-01 23:55:00'),10,30,6,20,false,false,1.0
239,date ('2023-11-01 23:55:00'),10,30,6,20,false,false,1.0
240,date ('2023-11-01 23:55:00'),10,30,6,22,false,false,0.6809160305343509
241,date ('2023-11-01 23:55:00'),10,30,6,22,false,false,1.0
242,date ('2023-11-01 23:55:00'),10,30,6,22,false,false,0.4697674418604644
243,date ('2023-11-01 23:55:00'),10,30,6,22,false,false,0.9598039215686276
244,date ('2023-11-01 23:55:00'),10,30,6,22,false,false,0.8199745547073779
245,date ('2023-11-01 23:55:00'),10,30,6,22,false,false,0.6054945054945047
246,date ('2023-11-01 23:55:00'),10,30,6,22,false,false,0.596572871572872
247,date ('2023-11-01 23:55:00'),10,30,6,22,false,false,1.0
248,date ('2023-11-01 23:55:00'),10,30,6,22,false,false,0.6316526610644254
